strategy,category,injector,producer,connectivity_probability,threshold_logk,source_artifact,source_artifact_sha256,derived_git_commit
augmentation,prior,INJECT5,PROD1,0.05,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT5,PROD2,0.09,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT5,PROD3,0.08,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT5,PROD4,0.14,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT6,PROD1,0.12,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT6,PROD2,0.12,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT6,PROD3,0.13,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT6,PROD4,0.03,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT7,PROD1,0.08,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT7,PROD2,0.15,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT7,PROD3,0.11,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT7,PROD4,0.16,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT8,PROD1,0.05,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT8,PROD2,0.06,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT8,PROD3,0.03,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT8,PROD4,0.1,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT1,PROD1,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT1,PROD2,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT1,PROD3,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT1,PROD4,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT2,PROD1,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT2,PROD2,0.01,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT2,PROD3,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT2,PROD4,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT3,PROD1,0.01,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT3,PROD2,0.11,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT3,PROD3,0.01,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT3,PROD4,0.18,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT4,PROD1,0.01,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT4,PROD2,0.03,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT4,PROD3,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT4,PROD4,0.07,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT5,PROD1,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT5,PROD2,0.06,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT5,PROD3,0.01,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT5,PROD4,0.87,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT6,PROD1,0.01,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT6,PROD2,0.1,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT6,PROD3,0.01,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT6,PROD4,0.13,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT7,PROD1,0.02,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT7,PROD2,0.16,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT7,PROD3,0.04,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT7,PROD4,0.47,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT8,PROD1,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT8,PROD2,0.03,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT8,PROD3,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,raw,INJECT8,PROD4,0.34,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT1,PROD1,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT1,PROD2,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT1,PROD3,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT1,PROD4,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT2,PROD1,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT2,PROD2,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT2,PROD3,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT2,PROD4,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT3,PROD1,0.01,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT3,PROD2,0.2,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT3,PROD3,0.03,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT3,PROD4,0.14,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT4,PROD1,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT4,PROD2,0.15,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT4,PROD3,0.01,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT4,PROD4,0.13,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT5,PROD1,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT5,PROD2,0.3,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT5,PROD3,0.01,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT5,PROD4,0.92,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT6,PROD1,0.01,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT6,PROD2,0.16,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT6,PROD3,0.02,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT6,PROD4,0.11,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT7,PROD1,0.01,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT7,PROD2,0.21,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT7,PROD3,0.04,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT7,PROD4,0.27,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT8,PROD1,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT8,PROD2,0.07,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT8,PROD3,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,pca,INJECT8,PROD4,0.14,6.8484296798706055,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT1,PROD1,0.02,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT1,PROD2,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT1,PROD3,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT1,PROD4,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT2,PROD1,0.03,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT2,PROD2,0.09,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT2,PROD3,0.02,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT2,PROD4,0.06,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT3,PROD1,0.01,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT3,PROD2,0.01,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT3,PROD3,0.0,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT3,PROD4,0.02,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT4,PROD1,0.02,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT4,PROD2,0.08,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT4,PROD3,0.01,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,fm,INJECT4,PROD4,0.06,6.8484296798706055,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,5415f66f13b95d42c78f03b79c1e62a987b107ba
